ego_size	coreness	hub_score	constraint	eccentricity	local_scan	subgraph_centrality	transitivity
C1QC	5	3	9.28843053455975e-06	0.333767361111111	12	5	65848519436.7138	0.166666666666667
HLA-DRA	9	4	5.09480817945471e-05	0.201475694444444	11	13	1982198688379.57	0.178571428571429
CD2	16	8	0.00133838560586356	0.0854016068042486	10	35	1366912315291731	0.19047619047619
CD3E	12	7	0.000927599494161352	0.138878694112713	10	27	656607977927924	0.290909090909091
C1QB	5	3	2.13982933815145e-05	0.442517361111111	11	7	349512417649.944	0.5
COL4A2	16	6	0.000397077962161221	0.0902267492175253	11	26	120316966303289	0.104761904761905
ITK	20	11	0.00284759899411348	0.0729033446641558	10	69	6187739723056499	0.292397660818713
COL1A2	17	7	0.000794563234845376	0.0896217081281685	11	36	481747631834625	0.166666666666667
ITGB2	28	8	0.0013076038488695	0.0413569335830415	10	37	1304808304217733	0.0284900284900285
CD5	17	9	0.00228706505075928	0.0812037040681463	10	44	3991482609498903	0.233333333333333
DOCK2	5	4	0.000411541034022903	0.254973886593205	11	5	129240987770427	0.166666666666667
KIF2C	36	18	0.0114195776397813	0.062357130634943	10	314	99508834799057488	0.46890756302521
TRAT1	7	6	0.000767690910666455	0.194110325735555	10	13	449752986672911	0.466666666666667
CSF2RB	18	10	0.00244325892528032	0.0740455794619123	10	40	4555478075805977	0.169117647058824
BUB1	48	18	0.0112997156367682	0.0524936970648372	10	454	97431627722568480	0.376503237742831
CD247	26	10	0.00213595571732558	0.0625407859932616	10	78	3481480947152473	0.176666666666667
SIT1	7	6	0.0076754037753152	0.177264523952146	10	13	44952912242313656	0.466666666666667
RAC2	14	6	0.000408789887488482	0.0788414055080722	10	14	127587645954980	0.0128205128205128
COL14A1	3	2	9.64125023997613e-05	0.5	11	2	7093026258166.77	0
JCHAIN	3	2	3.25503225563288e-05	0.583343606180145	11	3	808719364688.391	1
MRPL13	54	29	0.00325869524968072	0.0625738623914466	10	1049	671168171302155520	0.722786647314949
PIK3CD	17	11	0.00271997436614246	0.0811111325042106	10	45	5645705810369102	0.241666666666667
CD6	4	2	0.000573262414967096	0.333333333333333	10	3	251044205326038	0
SPC25	26	18	0.00667721265945634	0.094603987830843	11	254	34020925744699304	0.763333333333333
TF	10	4	0.000188808465157491	0.146545137512913	11	13	27203852934160.1	0.111111111111111
CCNB2	9	8	0.00375403087567672	0.144835404212199	10	22	10754107492797492	0.5
C1R	6	3	0.000499463418137716	0.287844444444444	10	7	190430160780868	0.2
SKA1	35	18	0.0076653310628057	0.0816067517919239	11	384	44835156787716448	0.623885918003565
CD3G	4	3	0.000221723371568589	0.421552720946136	10	6	37517208376198.7	1
LST1	3	1	0.000193865429333283	0.5	10	2	28678670100008.6	0
ABCG8	2	1	4.62009915464097e-06	1	11	1	16290471488.3224	NA
CD8B	5	4	0.00024816718266954	0.291149776528258	10	7	47000089555315	0.5
CD8A	13	7	0.00117444132334134	0.116730343290326	10	24	1053273536553438	0.181818181818182
CD180	2	1	1.05980442412014e-16	1	1	1	1.54308063481529	NA
RPL18	58	39	0.826732197156916	0.0510800741016992	9	1281	5.21530413265637e+20	0.766917293233083
VAV1	45	11	0.0121452226611454	0.0346929560107381	10	171	112556528310952432	0.134249471458774
CENPA	45	18	0.00902194804513706	0.0436856688917924	10	302	62112691559176408	0.272727272727273
CENPM	19	16	0.00468247860034337	0.110871329192188	11	134	16730370782498526	0.758169934640523
PRKCB	40	10	0.0100295899848126	0.0266159087762643	9	45	76757654212379568	0.00809716599190283
NUF2	36	18	0.00811491239902956	0.0707060041657702	10	361	50248933988773768	0.547899159663866
KIF11	4	3	0.00250537459519099	0.343222775940216	10	4	4792099436036367	0.333333333333333
CDC20	71	18	0.0517761640094009	0.0323086457595328	10	572	2045550204132371968	0.207867494824017
IGHM	14	5	0.000280298179358687	0.0853468113083498	11	14	60056658788402.5	0.0128205128205128
PTPRC	33	11	0.00928377429765392	0.0428544036800286	10	100	65767027273405224	0.137096774193548
IL2RB	19	11	0.00860656353049955	0.0828671497441929	10	62	56522006595621664	0.287581699346405
PRKCQ	15	8	0.0017792897319323	0.0760292610189156	9	22	2415914455386681	0.0879120879120879
GPR65	14	11	0.000298928971522353	0.0941147663901417	10	49	68201070660088.1	0.461538461538462
SLAMF6	4	3	0.000483524338820084	0.341527892206243	11	4	178405014581577	0.333333333333333
CDCA5	30	18	0.00662114377988632	0.0917631088992538	11	324	33452137126479240	0.726600985221675
MYL9	10	8	0.00428169280648708	0.16593269424136	10	26	13988902344909982	0.472222222222222
DCN	22	7	0.00143696625875967	0.0556264283379964	10	32	1575601450009482	0.0523809523809524
UBE2C	25	12	0.0291364650784467	0.0665117986536131	10	115	647774679903244672	0.329710144927536
PTTG1	6	4	0.0203810167948865	0.234986490710236	10	9	316957840863083456	0.4
BTK	42	11	0.0043203643626576	0.0331682686907036	9	116	14243625867750726	0.0914634146341463
KIF18A	33	18	0.00815908038613489	0.0725509453575422	10	322	50797362772204072	0.584677419354839
SYK	77	11	0.0171263710874353	0.0237122728772302	10	320	223815569406749792	0.0856140350877193
SH2D1A	12	5	0.0070936769346412	0.0998552612162785	10	15	38397018968142472	0.0727272727272727
MCM10	29	15	0.00908589913752499	0.0758966574148691	10	201	63039337760694064	0.457671957671958
LUM	5	3	1.85650267761455e-05	0.270098143424036	11	5	263007781760.914	0.166666666666667
SPARC	13	6	0.000262911213278093	0.0982457285730397	11	21	52745667402882.2	0.136363636363636
CDK1	112	15	0.0439266628806183	0.0142430343957169	9	393	1472364853974663936	0.0461916461916462
NEK2	13	9	0.00463094040780008	0.106441929683586	10	38	16364153818053374	0.393939393939394
EXO1	28	13	0.00557304877178307	0.0802851937556563	10	178	23707366257198812	0.43019943019943
ITGAX	7	4	0.000114656421750965	0.176140856005182	11	7	10031860166399.4	0.0666666666666667
KDR	28	10	0.00418030801078781	0.0494039289435094	10	61	13335191062246932	0.0968660968660969
CENPI	36	18	0.00802458763858799	0.0762717144065365	10	338	49136417597269448	0.509243697478992
HCLS1	14	8	0.00229489385664852	0.086285372670919	10	22	4018679249056693	0.115384615384615
RPL31	59	39	0.811540327301205	0.0495519564922348	10	1236	5.02539559644704e+20	0.71264367816092
RPS3	87	39	0.95297888731431	0.0351053322147553	9	1673	6.92973324612324e+20	0.434199726402189
PLG	27	6	0.000638576009079551	0.0419736079546101	10	31	311196208165551	0.0153846153846154
CD93	12	6	0.000562504894118167	0.0947401995841519	10	13	241464533644883	0.0363636363636364
EMC4	8	4	3.43727419754234e-05	0.432931995927623	11	20	902995302905.456	0.619047619047619
CCR5	34	11	0.00806919499005508	0.03755911697992	10	78	49684192584468560	0.0852272727272727
CENPE	36	18	0.00860076894108194	0.0715757617741808	10	373	56446059524948064	0.568067226890756
PTPN22	8	7	0.00129014723115893	0.177078231683314	10	20	1270144001413675	0.619047619047619
PLAU	18	6	8.1510577880503e-05	0.0851859104945796	11	32	5070288853364.87	0.110294117647059
ASGR2	4	3	1.57561832089011e-06	0.482253086419753	12	4	1894955635.43762	0.333333333333333
CEP55	5	4	0.00220232164557197	0.252468059336728	10	5	3701023023194825	0.166666666666667
CD74	11	4	0.000269421535954943	0.143347222222222	11	14	55390010678653.3	0.0888888888888889
KIF23	9	6	0.00199319462632596	0.145265759669693	10	12	3031926374807231	0.142857142857143
RPS14	85	39	0.918883933948973	0.0332333281746918	9	1560	6.44274990037539e+20	0.423407917383821
NID2	6	3	3.38755299397434e-05	0.234664986347406	11	6	875760601574.174	0.1
CD48	10	5	0.00085443964976946	0.114992346087346	9	11	557167776312187	0.0555555555555556
DOK3	7	6	0.00142304929282472	0.172852747746927	10	9	1545383108533742	0.2
SH2D2A	6	5	0.00144279664696054	0.206948020837396	10	7	1588443797876436	0.2
PRELP	4	3	1.78971084988132e-05	0.392094097878597	11	4	244432247553.801	0.333333333333333
MRPS15	60	29	0.00369148271882664	0.058058254662594	10	1132	727952984788195328	0.627118644067797
RPS5	78	39	0.947870036465099	0.0417016252314134	10	1658	6.85563342217074e+20	0.540328092959672
RPL8	55	39	0.781155240854497	0.0525038690771307	10	1145	4.65612566004266e+20	0.76240391334731
HCK	45	11	0.00419018107380895	0.0273160199265366	10	91	13398540693482280	0.0496828752642706
TPX2	11	9	0.00359287965113103	0.135722733929318	10	29	9850241987603034	0.422222222222222
LCP2	30	11	0.00405725196425869	0.0550402281155436	10	130	12561396643833276	0.248768472906404
PSMB7	37	23	0.00557982497377169	0.0900448126277206	10	496	23760889363481776	0.73015873015873
ERCC6L	25	16	0.00575414652538411	0.0764625499273298	10	172	25265064303580896	0.536231884057971
NFAM1	3	2	0.000554012386784064	0.5	11	2	234209572245332	0
CXCR2	14	5	0.000145864574960393	0.146678194992586	10	23	16253034630538.7	0.128205128205128
JAK3	29	11	0.0032269438750275	0.0556492397179706	10	116	7946625032113890	0.232804232804233
CDKN3	8	6	0.00325899054076746	0.159190118264535	10	12	8104685683129775	0.238095238095238
SKA3	4	3	0.000497399170851443	0.373693135988916	11	6	188787468360210	1
AURKB	51	18	0.0430963652789514	0.0520533562923614	10	490	1417200807868759296	0.359183673469388
