zi	pc	gc
S100A9	0.0310485943391336	0.708333333333333	0.708352162648398
C1QC	0	0.75	0.750463325605834
RPL18	1.09712060771924	0.29736328125	0.298280785194644
MRPL13	1.14469716130302	0	0.000680174552897483
MRPS15	1.44671823643508	0	0.000711625907120705
PSMB7	0.892381020386556	0.0555102040816327	0.0565763177736186
RPS3	1.95980905362928	0.307901234567901	0.309401731614213
RPS5	1.59008543395355	0.220964207450694	0.222351708048176
CXCR2	0.850420064270761	0.764444444444444	0.765035979398111
RPL15	1.09712060771924	0.325680473372781	0.326486200576389
UQCRC2	0	0.277777777777778	0.277970730728312
MRPS22	0.117825505853991	0.133044889129259	0.133304825568582
NDUFA12	0.473224513570336	1.11022302462516e-16	0.000512862887826593
RPL6	1.09712060771924	0.261186264308012	0.262117205536228
NDUFS2	0.6973834936826	0.0644444444444444	0.0649734243992121
GNB1	4.04876895620551	0.171487603305785	0.174664445375628
RPL31	1.22036181427782	0.291378926264201	0.292288434122896
RPS10	1.79548744488451	0.293083900226757	0.294448167282854
RPS16	1.91872865144308	0.317283950617284	0.318814866087827
MRPL16	0.903080301197364	0	0.000658348291045829
BMS1	0.0948361555087177	0.1472	0.147491407485334
PSMB6	0.892381020386556	0.153396639883126	0.154302308048629
MRPS28	0.782271871144537	0	0.000508748589341246
RPL8	1.05604020553305	0.267669981187853	0.268506349861942
EIF3K	0.35767336836778	0.23	0.230304441945702
NDUFB2	0.473224513570336	1.11022302462516e-16	0.000520535706279412
MRPL49	0.601059226065297	0	0.000441373664677447
RPS14	1.75440704269831	0.379497538189623	0.380639899091837
REV1	-0.0578716656227086	0.461538461538462	0.461935725227436
NDUFA7	0.473224513570336	0.130796670630202	0.131235422493647
RPL23A	1.34360302083639	0.351716581446311	0.352622573219349
MRPS31	-0.788237719542207	0	0.000160540793986086
ATP5F1B	0.192095136609997	0.765432098765432	0.766015715895079
MRPL37	-1.39227986980634	0	9.47077551166631e-05
NDUFB10	0.921542473794864	0.060546875	0.0611643891178189
NDUFB11	0.6973834936826	1.11022302462516e-16	0.00054172679375919
PSMD14	0.749190942616793	0.112456747404844	0.113328903106023
NDUFB4	0.361145023514203	0.0713305898491085	0.07178521512822
RPS27A	3.96799217283816	0.805056573396342	0.81370879269132
PSMD8	0.749190942616793	0.156734693877551	0.157609523953524
NDUFS4	0.585304003626468	1.11022302462516e-16	0.000605407338783781
PSMD1	0.749190942616793	0.302432610124918	0.303116878452492
MDH2	1.15470053837925	0.816326530612245	0.816403838321745
MRPL36	1.26550559135584	0	0.000525990613718941
COL4A2	1.66444934083554	0.5625	0.562620834256377
CD2	-0.0171030872672422	0.662721893491124	0.662751302162579
PSMD6	0.963976059271437	0.423611111111111	0.424316793290337
COX5B	0	0.244897959183674	0.245261470446491
COX7B	0	0	0.000344215941372461
UQCR10	0	0	0.000267857973297647
PSMB5	0.963976059271437	0.22375	0.22460813418506
RPL37A	1.22036181427782	0.154797097554421	0.155845184027535
HNRNPR	-0.418354676756998	0.530612244897959	0.530744880692444
MRPL51	0.299038150933231	0	0.000276644489535793
MRPS27	-0.667429289489381	1.11022302462516e-16	0.000139034675484373
NDUFA1	0.473224513570336	0.0688775510204083	0.0693497671659205
MRPL24	1.44671823643508	0	0.000816753297486539
PSMA6	1.1071661370412	0.176085663295657	0.177105066842992
C1QB	0	0.5	0.500176276981773
NDUFAB1	0.473224513570336	1.11022302462516e-16	0.000520535706279412
EMC7	0	0	0.000164013592917289
LSM3	0.48549801994022	0.396049382716049	0.396192185810599
MRPS35	1.14469716130302	0	0.000728829953225207
