markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank
S100A9	3.98023785230678e-05	2370.06666666667	759.1484375	18.8798544477977	463	9	6	0	3547	1058	-0.153474514344892	2255.32537042637	247363	0.0955128205128205	42.0909090909091
C1QC	2.24387296387549e-05	1836.16547619048	390.78515625	17.5320632647268	52	4	3	0	436	116	-0.226190476190476	1777.02252872346	10971	0.279761904761905	17.3333333333333
RPL18	5.22979453497475e-05	2646.00714285714	956.703125	16.1062622580067	4740	51	62	0.207174379111117	5143	13512	-0.00732643263554307	2476.76367057782	3530062	0.0754455061983471	3301.07142857143
MRPL13	4.8568366847481e-05	2065.5630952381	538.94140625	16.2901980203052	2699	41	57	0.217371166133807	1347	8590	0.115669627965756	1959.68963302484	419646	0.389503169688928	1872.0507518797
MRPS15	4.88467533160723e-05	2067.05714285714	539.6484375	15.3430532881492	2770	41	62	0.2061588184292	1344	9322	0.194163855454572	1958.48891287857	432140	0.367037137435619	1669.91010047594
PSMB7	4.88528292634484e-05	2248.78333333333	668.8828125	15.7629172324326	1264	28	35	0.232214341465314	2680	3718	0.0244610693247395	2140.67828555028	539729	0.18677811550152	938.971428571429
RPS3	5.33007885751828e-05	2704.95714285714	997.421875	14.8571511577085	5611	51	90	0.204383709391058	5341	19232	0.249732739133907	2516.59914520301	4083433	0.054095630021556	2437.73782771536
RPS5	5.2747718677106e-05	2616.77619047619	934	13.3336991397302	4919	50	74	0.198764479857368	4889	15240	0.116304217018599	2443.31703854694	3617868	0.0719483219483219	2775.47426878934
CXCR2	4.18800612082966e-05	2196.29523809524	634.015625	14.6131498549699	382	10	10	0.171036967160179	2222	974	-0.00673839820958527	2092.82437488308	125905	0.0997245179063361	32.7428571428571
RPL15	5.23529923481468e-05	2576.01428571429	904.9453125	15.186175785701	4520	51	62	0.213267743202621	4724	13200	0.023309262122695	2412.1478007762	3357814	0.0863711320205646	3035.78846153846
UQCRC2	2.48435052833711e-05	1867.33849206349	410.818359375	14.1617476621254	55	5	6	0.0501750035468149	565	140	-0.0944741532976827	1804.6362243252	11874	0.314102564102564	40.3333333333333
MRPS22	4.78535810222348e-05	2240.41666666667	663.8203125	13.5573029606718	1920	34	41	0.218813803250098	2557	5646	0.0385507264567665	2116.51423616585	359889	0.166429966270193	1001.46179401993
NDUFA12	4.20492101431947e-05	1911.175	437.64453125	12.632903786989	779	25	27	0.232005013324336	668	2260	-0.00911865549223282	1834.92561915696	72686	0.506397306397306	714.638176638177
RPL6	5.21754657591591e-05	2553.99761904762	889.1328125	13.0109915553552	4412	51	61	0.202442133431287	4571	12606	-0.00950024757306099	2391.86320553022	3307798	0.0921749819846552	3222.08989952406
NDUFS2	4.28558875571416e-05	1971.40952380952	477.0234375	12.8624583383338	803	25	30	0.242362739791281	915	2476	0.0966100819426755	1888.93654322377	81212	0.396410256410256	607.326436781609
GNB1	5.24270165438191e-05	2445.4	806.3125	13.1914670142025	2181	22	81	0.200161586661426	3664	12018	0.628698092574287	2281.30944127243	715961	0.0422338356830335	293.420846394984
RPL31	5.24286202518881e-05	2620.62619047619	937.765625	12.3376696567662	4639	50	63	0.223465107920773	4915	13700	0.0586580195730776	2447.59340018232	3404016	0.0726082049814824	2929.01130710086
RPS10	5.31211567210127e-05	2624.71904761905	939.0546875	8.61555666555667	5231	51	82	0.203105437110417	4949	17434	0.204091683527104	2445.09703857502	3837056	0.0672338090010977	2641.00975329891
