gseNO	Tissue.Type	if_health
1	GSM362958	Tumor	0
2	GSM362959	Tumor	0
3	GSM362960	Tumor	0
4	GSM362961	Non-Tumor	1
5	GSM362962	Non-Tumor	1
6	GSM362963	Non-Tumor	1
7	GSM362964	Tumor	0
8	GSM362965	Tumor	0
9	GSM362966	Tumor	0
10	GSM362967	Non-Tumor	1
11	GSM362968	Non-Tumor	1
12	GSM362969	Non-Tumor	1
13	GSM362970	Tumor	0
14	GSM362971	Tumor	0
15	GSM362972	Tumor	0
16	GSM362973	Non-Tumor	1
17	GSM362974	Non-Tumor	1
18	GSM362975	Non-Tumor	1
19	GSM362976	Tumor	0
20	GSM362977	Tumor	0
21	GSM362978	Tumor	0
22	GSM362979	Non-Tumor	1
23	GSM362980	Non-Tumor	1
24	GSM362981	Non-Tumor	1
25	GSM362982	Tumor	0
26	GSM362983	Tumor	0
27	GSM362984	Tumor	0
28	GSM362985	Non-Tumor	1
29	GSM362986	Tumor	0
30	GSM362987	Tumor	0
31	GSM362988	Tumor	0
32	GSM362989	Non-Tumor	1
33	GSM362990	Non-Tumor	1
34	GSM362991	Non-Tumor	1
35	GSM362992	Tumor	0
36	GSM362993	Tumor	0
37	GSM362994	Tumor	0
38	GSM362995	Non-Tumor	1
39	GSM362996	Non-Tumor	1
40	GSM362997	Non-Tumor	1
41	GSM362998	Non-Tumor	1
42	GSM362999	Non-Tumor	1
43	GSM363000	Non-Tumor	1
44	GSM363001	Non-Tumor	1
45	GSM363002	Non-Tumor	1
46	GSM363003	Non-Tumor	1
47	GSM363004	Non-Tumor	1
48	GSM363005	Non-Tumor	1
49	GSM363006	Non-Tumor	1
50	GSM363007	Non-Tumor	1
51	GSM363008	Tumor	0
52	GSM363009	Tumor	0
53	GSM363010	Tumor	0
54	GSM363011	Tumor	0
55	GSM363012	Tumor	0
56	GSM363013	Tumor	0
57	GSM363014	Tumor	0
58	GSM363015	Tumor	0
59	GSM363016	Tumor	0
60	GSM363017	Tumor	0
61	GSM363018	Non-Tumor	1
62	GSM363019	Non-Tumor	1
63	GSM363020	Non-Tumor	1
64	GSM363021	Non-Tumor	1
65	GSM363022	Non-Tumor	1
66	GSM363023	Non-Tumor	1
67	GSM363024	Non-Tumor	1
68	GSM363025	Non-Tumor	1
69	GSM363026	Non-Tumor	1
70	GSM363027	Non-Tumor	1
71	GSM363028	Non-Tumor	1
72	GSM363029	Tumor	0
73	GSM363030	Tumor	0
74	GSM363031	Tumor	0
75	GSM363032	Tumor	0
76	GSM363033	Tumor	0
77	GSM363034	Tumor	0
78	GSM363035	Tumor	0
79	GSM363036	Tumor	0
80	GSM363037	Tumor	0
81	GSM363038	Tumor	0
82	GSM363039	Tumor	0
83	GSM363040	Non-Tumor	1
84	GSM363041	Non-Tumor	1
85	GSM363042	Non-Tumor	1
86	GSM363043	Non-Tumor	1
87	GSM363044	Non-Tumor	1
88	GSM363045	Non-Tumor	1
89	GSM363046	Non-Tumor	1
90	GSM363047	Non-Tumor	1
91	GSM363048	Tumor	0
92	GSM363049	Tumor	0
93	GSM363050	Tumor	0
94	GSM363051	Tumor	0
95	GSM363052	Tumor	0
96	GSM363053	Tumor	0
97	GSM363054	Tumor	0
98	GSM363055	Tumor	0
99	GSM363056	Tumor	0
100	GSM363057	Tumor	0
101	GSM363058	Non-Tumor	1
102	GSM363059	Non-Tumor	1
103	GSM363060	Non-Tumor	1
104	GSM363061	Non-Tumor	1
105	GSM363062	Non-Tumor	1
106	GSM363063	Non-Tumor	1
107	GSM363064	Non-Tumor	1
108	GSM363065	Non-Tumor	1
109	GSM363066	Non-Tumor	1
110	GSM363067	Non-Tumor	1
111	GSM363068	Non-Tumor	1
112	GSM363069	Tumor	0
113	GSM363070	Tumor	0
114	GSM363071	Tumor	0
115	GSM363072	Tumor	0
116	GSM363073	Tumor	0
117	GSM363074	Tumor	0
118	GSM363075	Tumor	0
119	GSM363076	Tumor	0
120	GSM363077	Tumor	0
121	GSM363078	Tumor	0
122	GSM363079	Tumor	0
123	GSM363080	Tumor	0
124	GSM363081	Tumor	0
125	GSM363082	Tumor	0
126	GSM363083	Tumor	0
