ID	Description	GeneNumber	Pvalue	geneID	type	number
GO:0007062	sister chromatid cohesion	17	3.22213111377804e-37	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	biological process	24
GO:0000819	sister chromatid segregation	17	9.70900427681857e-33	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	biological process	23
GO:0098813	nuclear chromosome segregation	17	7.81359659346878e-31	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	biological process	22
GO:0007059	chromosome segregation	17	1.13727479056509e-29	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	biological process	21
GO:0034080	CENP-A containing nucleosome assembly	6	1.7613853707946e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	20
GO:0061641	CENP-A containing chromatin organization	6	1.7613853707946e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	19
GO:0031055	chromatin remodeling at centromere	6	2.35075030784243e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	18
GO:0006336	DNA replication-independent nucleosome assembly	6	6.59745734881671e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	17
GO:0034508	centromere complex assembly	6	6.59745734881671e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	16
GO:0034724	DNA replication-independent nucleosome organization	6	7.4181667916596e-12	CENPH/CENPI/CENPK/CENPM/CENPN/CENPP	biological process	15
GO:0000775	chromosome, centromeric region	17	9.15798046112155e-35	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	14
GO:0098687	chromosomal region	17	2.48465403110981e-30	AURKB/BUB1/CDCA5/CDCA8/CENPH/CENPI/CENPK/CENPM/CENPN/CENPP/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	13
GO:0000776	kinetochore	14	2.80478803983849e-28	AURKB/BUB1/CENPH/CENPI/CENPK/CENPM/CENPN/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	12
GO:0000779	condensed chromosome, centromeric region	13	2.64263925345925e-26	AURKB/BUB1/CENPH/CENPK/CENPM/CENPN/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	11
GO:0000793	condensed chromosome	14	3.47236626918302e-25	AURKB/BUB1/CDCA5/CENPH/CENPK/CENPM/CENPN/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	10
GO:0000777	condensed chromosome kinetochore	12	2.75220482582754e-24	BUB1/CENPH/CENPK/CENPM/CENPN/INCENP/NUF2/PLK1/SKA1/SPC25/SPDL1/ZWILCH	cellular component	9
GO:0000940	condensed chromosome outer kinetochore	4	3.32565891024729e-10	BUB1/PLK1/SKA1/SPDL1	cellular component	8
GO:0000780	condensed nuclear chromosome, centromeric region	4	3.38540235210939e-09	AURKB/BUB1/NUF2/PLK1	cellular component	7
GO:0000794	condensed nuclear chromosome	5	1.89244617225943e-08	AURKB/BUB1/INCENP/NUF2/PLK1	cellular component	6
GO:0000778	condensed nuclear chromosome kinetochore	3	1.36637879667928e-07	BUB1/NUF2/PLK1	cellular component	5
GO:0035173	histone kinase activity	1	0.0152824330289797	AURKB	molecular function	4
GO:0008017	microtubule binding	2	0.0214034461864232	PLK1/SKA1	molecular function	3
GO:0004712	protein serine/threonine/tyrosine kinase activity	1	0.0344928350013808	AURKB	molecular function	2
GO:0015631	tubulin binding	2	0.0352793441755788	PLK1/SKA1	molecular function	1
