gene	cluster	p_value	fdr
NLGN4X	Genes_SelectbyRFEofFeatureData_expr_label_cluster 1 .txt	6.30171155615573e-25	2.9693057740052e-24
BEX3	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.0145090063875215	0.0193828131293836
CHMP1A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.000195512511431414	0.000310240021649005
CREBZF	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	6.25491559433418e-07	1.1875934367518e-06
DACH1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	1.51744372600696e-126	2.9686451970517e-124
FBXO4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	1.33270345676762e-06	2.47311059206438e-06
KIF5A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	8.22472564495276e-13	2.20823789881511e-12
KIF5B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	9.53218761484917e-07	1.78517939259685e-06
KTN1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.355097804620691	0.393894882390828
MXI1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	6.33414489979529e-09	1.37129721356922e-08
NCOR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	5.87003755785762e-66	1.6496102783449e-64
RCOR1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.0412017465090184	0.0523016430292294
REST	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.188206509844115	0.21941609267066
RFX5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	3.20950602895368e-76	1.3661215411107e-74
SAP30L	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	2.52009820037947e-28	1.3865310433997e-27
TP53BP2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	2.04367663546851e-40	1.98950453709293e-39
VPS4B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	4.5914120299938e-07	8.79134850011801e-07
YAP1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 10 .txt	0.0337427977777933	0.0432542189759944
HAUS6	Genes_SelectbyRFEofFeatureData_expr_label_cluster 11 .txt	6.24553278154491e-39	5.7033936253731e-38
KIF2B	Genes_SelectbyRFEofFeatureData_expr_label_cluster 11 .txt	0.926244871210687	0.934976093949823
RAB10	Genes_SelectbyRFEofFeatureData_expr_label_cluster 11 .txt	1.73276319339695e-23	7.62430794395638e-23
TPX2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 11 .txt	8.38762662322827e-93	6.46419133621979e-91
CRYZ	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	2.17807076575703e-12	5.71217166796759e-12
DDX56	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	2.68048447372542e-08	5.57297538344752e-08
EIF1AX	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	0.934543334500965	0.941670893609184
EIF4G1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	0.000336676517103565	0.000522822501678303
GCLM	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	0.300762870403208	0.338870382169879
GSPT1	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	1.6095846047758e-11	4.04803564508881e-11
PDCD5	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	8.13579382932509e-31	5.02522347454306e-30
RPS6	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	0.335604499814697	0.374312528956793
RTCA	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	3.9657711548445e-06	7.14175782585115e-06
SKIV2L	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	1.52712830752512e-05	2.62334959007987e-05
UPF3A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 12 .txt	1.04605985483635e-10	2.52349227015655e-10
CUL4A	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	0.0645819880794095	0.0801503677847789
DCAF4	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	4.1770007253522e-07	8.01596460649084e-07
ELAVL2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	0.12714854942089	0.152228103243347
GTF2E2	Genes_SelectbyRFEofFeatureData_expr_label_cluster 13 .txt	1.864607209301e-16	6.02179337784732e-16
