spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
ABCB8	4.59678448385862	0.000255	14	1077.147579	6e-06	0	1637.461111	1.46643821284499e-05	1637.46111111111	331.0654296875	0	30	0	394	1577.27811242193	5955	2	3.68152290006726e-05	10	1035539037225.45	0.5	0.217227528669561
ABCC2	4.48411381906342	0.000255	18	713.735685	5e-06	0	1675.348052	1.56799247200739e-05	1675.34805194805	352.75537109375	0	38	0	434	1616.90979454783	7784	2	3.10428969999968e-05	11	735464333902.792	0	0.222253655074035
ABCC6	4.28212326145209	0.000128	62	0	0.000222	0	1762.441667	1.06914784776366e-05	1762.44166666667	409.5419921875	0	63	0	779	1693.18048809559	21504	1	0.00139297037980089	10	1480604579820990	0	0.233807597063761
ABCC9	5.06660712007146	0.000383	6.666667	2668.31881	1e-06	0.333333	1477.578644	1.37744269566595e-05	1477.57864357864	238.096923828125	2.3	23	0	135	1431.01830911426	1953	2	5.03746038443116e-06	12	19392661921.9764	0.444444444444444	0.196017331331758
ABCD2	6.20441495470205	0.000128	11	0	0	0	1194.724614	7.47955163838479e-06	1194.72461427461	107.033813476562	0	12	0	20	1168.58843369529	187	1	6.22736917971623e-08	13	2962009.14034596	0	0.158493581092408
ABCD3	4.28646165624601	0.001021	9.375	80640.854701	2.6e-05	0	1768.864322	2.41977063654239e-05	1768.86432178932	414.50244140625	1	83	2	838	1691.46679367725	17569	4	0.000165426797037695	11	20890922056833.8	0.75	0.234659634092502
ABCD4	5.62051805537833	0.000255	2	15072	0	0	1322.895743	6.32435930855248e-06	1322.89574314574	159.659912109375	0	6	0	27	1289.98919360697	335	1	6.39216686068472e-07	12	312507545.332433	0.5	0.175496914718202
ABCF3	6.02947556462932	0.000255	2	30136	0	0	1230.003186	6.03855795291619e-06	1230.00318570319	120.057983398438	0	6	0	13	1202.49389456754	120	1	1.47450173800528e-07	13	16605206.9759373	0.5	0.163173678124591
ABCG1	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481524	0	1
ABCG4	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481524	0	1
ABCG5	4.10616307260431	0.000255	57.5	7537	3.8e-05	0	1847.488492	1.07718218007788e-05	1847.48849206349	466.748046875	0	117	0	1172	1765.73784959602	51166	1	0.000239109194283205	10	43631157546229.7	0.5	0.245090009560015
ABCG8	5.06788311854026	0.000128	2	0	1e-06	0	1472.405628	6.4633251678148e-06	1472.40562770563	234.1240234375	12.6487459290556	3	0	115	1430.65800538812	1174	1	4.62009915464097e-06	11	16290471488.3224	0	0.195331072924619
ABHD16A	4.60967206839352	0.000383	5.666667	262.817515	2.1e-05	0	1627.382576	1.7354618602221e-05	1627.38257575758	323.13525390625	1	20	0	319	1572.86840502685	5821	3	0.000128452085707458	11	12600695845161.1	0.444444444444444	0.215890498243251
ABI1	3.75768789077453	0.001659	20.230769	14882.583107	0.000471	0.038462	2035.794841	2.74233230248283e-05	2035.79484126984	596.666015625	0	276	0	2332	1929.48636626031	124590	7	0.00295107878915173	10	6645349578242725	0.378698224852071	0.270070952675733
ABI2	3.88579813704224	0.001021	22.25	5907.790544	0.000405	0.035714	1961.005556	2.58443526214893e-05	1961.00555555556	544.2001953125	1	186	0	1827	1865.87344432404	73562	7	0.00253811152691533	10	4915602572721705	0.21875	0.260149317531894
ABI3	3.99425800689039	0.001021	14.125	18186.506437	0.001327	0.035714	1901.132143	2.37833349053007e-05	1901.13214285714	502.21484375	1.33333333333333	121	0	1460	1815.20761588346	48740	5	0.00831869703328554	10	52803245102648160	0.40625	0.252206439752855
ABI3BP	4.95597805282634	0.000128	8	0	2.6e-05	0	1505.905628	9.62180868521968e-06	1505.90562770563	251.857421875	1	9	0	109	1462.96199794027	1833	1	0.000160734953106128	11	19713821712786.7	0	0.199775222566431
ABL1	3.01518438177874	0.01659	21.130769	918472.2623	0.004884	0.019559	2633.86627	3.23192846165573e-05	2633.86626984127	1021.1015625	0	2878	0.0805168342717622	5252	2404.63157003809	1423480	11	0.0305788532671401	9	713541914631578752	0.701301775147929	0.349411816110528
ABL2	3.74709710348348	0.001021	43	3985.501175	0.000294	0.178571	2042.838889	2.57728709266343e-05	2042.83888888889	602.2080078125	1	353	0	2310	1934.93986242593	152696	6	0.00184339941589342	10	2593042688313996	0.21875	0.271005424368364
ABLIM1	4.51142018629578	0.000383	11.666667	1294.123747	1.2e-05	0	1669.181818	1.72261757765713e-05	1669.18181818182	350	0	38	0	434	1607.12309084738	7924	2	7.35695135096092e-05	11	4136488610587.09	0.444444444444444	0.221435635205869
ABR	3.91603930075284	0.000255	71.5	2054.892159	9.5e-05	0	1942.006746	1.59212647031076e-05	1942.00674603175	531.705078125	0	145	0	1781	1851.46445096123	60865	2	0.000594983687968119	10	270148223979397	0.5	0.257628912978457
ABRAXAS2	4.38841393390328	0.000128	39	0	2.4e-05	0	1716.504004	1.06014508734686e-05	1716.504004329	379.77001953125	0	40	0	589	1652.17038846243	13541	1	0.000148047782009974	11	16781717163244.7	0	0.22771345241828
ABT1	4.33265280081664	0.000128	70	0	4.8e-05	0	1748.280195	1.07248871924699e-05	1748.24686147186	402.19775390625	0	71	0	791	1673.43378000295	29642	1	0.000295984790292077	11	67204216849817.3	0	0.23192449740937
ABTB1	4.23172132193441	0.000128	57	0	0.000131	0	1786.865909	1.06972836882966e-05	1786.86590909091	426.29345703125	0	58	0	906	1713.3471233868	22469	1	0.000817648655112496	11	510249676082270	0	0.237047745965885
ACACA	4.04465994640806	0.000128	96	0	7.1e-05	0	1876.998413	1.07640777946707e-05	1876.99841269841	487.4033203125	0	97	0	1420	1792.58767114644	53259	1	0.000441923188941397	10	149159034890577	0	0.249004830551644
ACACB	5.74964910042108	0.000128	5	0	0	0	1291.203283	8.56126096527685e-06	1291.20328282828	145.287109375	0	6	0	18	1261.01739902352	248	1	2.93641887623398e-06	12	6588770671.43088	0	0.171292555429599
ACAD9	5.11101186678576	0.000383	20.666667	7537	3e-06	0.333333	1464.72904	1.52489465057138e-05	1464.72904040404	231.107421875	0	65	0	105	1418.5855448758	4406	2	1.81548821078679e-05	11	251548689524.875	0.444444444444444	0.194312687769197
ACADM	4.53209136149037	0.000255	12	50.916824	9e-05	0	1662.785354	1.42990101190629e-05	1662.78535353535	346.89111328125	1	26	0	480	1599.79289374402	8190	2	0.000560197036411352	11	239556180247062	0	0.220587072636691
ACAN	4.57789970652035	0.001787	8.357143	32991.706863	4e-06	0.054945	1657.935354	2.65727710010125e-05	1657.93535353535	344.58642578125	0	131	0.0987551639829222	480	1583.7847088664	14882	5	2.4745303128387e-05	11	467292656002.212	0.744897959183674	0.219943665897505
ACAP1	3.97537322955212	0.000255	66	2201.918298	9.5e-05	0	1913.382143	1.37965406062589e-05	1913.38214285714	512.26953125	0	134	0	1619	1823.83065318568	58364	2	0.000592063487585438	10	267502740882951	0.5	0.253831539248741
ACAP3	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481525	0	1
ACAT2	3.90914890902131	0.00051	42.75	1334.228435	0.00014	0	1949.95	2.15366017873217e-05	1949.95	537.46875	0	175	0	1796	1854.72790181486	64521	4	0.000874999497418284	10	584502926771355	0	0.258682674449438
ACBD3	5.5248181702182	0.000128	3	0	0	0	1344.782612	7.86405010464867e-06	1344.78261183261	169.061767578125	0	4	0	26	1312.33414938334	372	1	1.15635565018819e-06	12	1020518441.36476	0	0.178400452617764
ACD	4.86104376674748	0.000128	13	0	4.3e-05	0	1541.062734	1.0088278583889e-05	1541.06273448773	273.19091796875	0	14	0	162	1491.53307433851	2708	1	0.000271304967573228	11	56164936484735.2	0	0.204439205954874
ACE	5.54982774020671	0.000128	4	0	0	0	1335.491775	8.26150875713614e-06	1335.49177489177	163.544677734375	0	5	0	17	1306.4202878558	350	1	6.77212957599927e-07	12	350189041.015387	0	0.177167919194993
ACHE	4.35676917187699	0.000128	46	0	2.7e-05	0	1728.683369	1.06221529033112e-05	1728.68336940837	387.21826171875	0	47	0	620	1664.17068884724	11668	1	0.000167520882283705	11	21414159759349.3	0	0.22932918140201
ACIN1	5.06877631746842	0.000255	5.5	37665	1e-06	0	1476.080195	9.63774875589924e-06	1476.08019480519	237.209716796875	0	13	0	110	1430.40590071493	1795	1	7.62830476281626e-06	12	44430426457.0187	0.5	0.195818545344301
ACKR1	5.22304453234656	0.00051	6	7550.965538	2e-06	0	1432.66829	1.80374918274415e-05	1432.66829004329	214.69287109375	2.4	28	0	97	1388.15733027142	4052	3	1.17248519779839e-05	11	104905718091.443	0.375	0.190059470687641
ACKR2	4.66683679979584	0.001021	6.625	19372.541809	1.2e-05	0	1614.784163	2.39225812904621e-05	1614.78416305916	316.92724609375	0	61	2	358	1553.60212172582	10025	5	7.19653776846466e-05	11	3969703067812.05	0.40625	0.214219177906504
ACKR4	5.35766237080515	0.000128	6	0	1e-06	0	1390.066306	9.40777390412539e-06	1390.06630591631	191.77001953125	0	7	0	55	1353.27817471659	1105	1	3.31710641199365e-06	11	8396597364.72312	0	0.184407841060815
ACLY	3.94640806431032	0.000383	52	2070.981424	0.000615	0	1930.995238	1.87296650999737e-05	1930.99523809524	524.65625	1	159	0	1688	1837.21689084325	64721	3	0.00384698641480788	10	11293294358233630	0.444444444444444	0.256168113305268
ACOT13	4.01965037641955	0.000128	148	0	0.000253	0	1894.503968	1.07762887386292e-05	1894.50396825397	499.8916015625	1	149	0	1470	1803.74084185131	54727	1	0.00157567067438504	10	1896621339144827	0	0.251327138266629
ACOX1	5.13449023861171	0.000255	5.5	2943.957408	4.2e-05	0	1457.131421	1.1754733586333e-05	1457.13142135642	227.3935546875	0	13	0	114	1412.09880961256	1203	2	0.000264333030718067	11	53315421148042.2	0.5	0.19330477863579
ACP1	3.52660456807452	0.001276	60.2	28610.615913	0.000938	0.088889	2188.150794	2.70493279069548e-05	2188.15079365079	707.17578125	2.75	612	0	3226	2055.91736015631	241931	8	0.00576645425530442	9	25834430348272500	0.66	0.290282673607136
ACP5	4.09455148653822	0.000893	8.571429	17706.113735	0.000119	0	1850.636905	2.31281914677086e-05	1850.6369047619	468.126953125	1	67	2	1253	1770.7452398018	24730	4	0.000742081202704961	9	420249760462597	0.775510204081633	0.24550768171422
ACP6	4.39045553145336	0.00051	5.5	15373.713839	3.3e-05	0	1713.427381	1.81291961597784e-05	1713.42738095238	376.8623046875	0	26	0	581	1651.40211578703	9438	3	0.000204391970276189	10	31879585348062.9	0.625	0.227305303920453
ACPP	4.94844966186041	0.000128	12	0	3e-06	0	1508.235786	9.47067727485783e-06	1508.23578643579	253.1005859375	0	13	0	91	1465.18769500529	2301	1	1.67471737473129e-05	11	214016575561.943	0	0.200084344180939
ACSL6	5.31951001658798	0.000128	6	0	1e-06	0	1398.92031	9.17537533187749e-06	1398.92031024531	195.489501953125	0	7	0	48	1362.98409652426	714	1	3.30401599265767e-06	12	8331514533.7025	0	0.185582423752381
ACTA1	3.7939262472885	0.001659	17.461538	21302.786416	0.000165	0.038462	2014.584127	2.72023454489206e-05	2014.58412698413	581.544921875	0	240	0.159664183576095	2184	1911.05653650826	102452	7	0.00103586805664548	10	818802497745650	0.603550295857988	0.267257114219152
ACTA2	3.87354855174174	0.002169	14.823529	18250.325496	0.000498	0.176471	1972.929762	2.85569819912285e-05	1972.92976190476	552.0263671875	1	269	0.0547010257795201	1910	1871.77402246599	94057	8	0.00311970673866199	10	7426546138203978	0.608996539792388	0.261731196856543
ACTC1	3.99732040321552	0.001149	10.666667	2417.407381	0.000159	0.027778	1897.482143	2.60467716213086e-05	1897.48214285714	499.37890625	0	105	0	1470	1813.81696300316	53437	6	0.000995988018157783	10	756956666243033	0.197530864197531	0.251722226433672
ACTG2	3.55212453745056	0.001276	52.9	8241.040728	0.002403	0.444444	2161.043651	2.68068480605948e-05	2161.04365079365	686.5830078125	3.02777777777778	539	0.064138862685067	3101	2041.14677778576	254343	8	0.015053226654582	10	172907148946644960	0.46	0.286686607958801
ACTL6A	3.6226872527753	0.004339	18.294118	48705.963824	0.000725	0.122995	2132.715079	3.06584555006376e-05	2132.71507936508	664.61328125	0	656	0.0580305151612926	2911	2001.38931351485	272985	9	0.0045318039279146	9	15686859745029704	0.558823529411765	0.28292850615082
ACTL6B	3.92752328697206	0.000638	27.2	215.84975	0.000172	0.2	1933.30119	2.30706176888115e-05	1933.30119047619	525.095703125	0	141	0.159664183576095	1757	1846.05081221572	79872	5	0.00107659560913332	9	885057475391326	0	0.256474023676844
ACTN2	3.68112798264642	0.002169	20.176471	58695.887867	0.000159	0.036765	2081.81746	2.84725224029511e-05	2081.76746031746	628.419921875	0	360	0	2522	1969.61572324864	113007	8	0.000993545807240667	10	753474546449317	0.858131487889273	0.276169734719725
ACTR1A	3.75347709582748	0.001659	23.615385	8106.001062	0.000379	0.179487	2038.637698	2.81244478453891e-05	2038.6376984127	598.744140625	1	320	0.0509853030340417	2347	1931.65093826489	117681	8	0.00236924299656532	10	4283652013741593	0.272189349112426	0.270448089468364
ACTR2	3.38611713665944	0.004594	30.611111	38608.162853	0.005929	0.192063	2286.061111	3.09906528723421e-05	2286.06111111111	774.8388671875	5.87893241261662	1138	0.0633311840359948	3830	2141.21581188529	565105	11	0.0371479781748571	10	1052981341618238720	0.612654320987654	0.303271572182398
ACTR3	3.39236952915657	0.003573	33.035714	25466.352789	0.005398	0.177249	2279.13254	3.0488242589318e-05	2279.13253968254	770.7685546875	2.51515151515152	953	0.0651170937170234	3811	2137.26938990446	477414	11	0.0338184864579184	10	872686869736306304	0.522959183673469	0.302352419697844
ACTR3B	4.07196631364042	0.000766	18	130.27592	0.000253	0.6	1859.12619	2.39592607028016e-05	1859.12619047619	473.4599609375	0	114	0.068033073723357	1265	1780.56668337929	58743	6	0.00158273341374302	10	1911508135167114	0.277777777777778	0.24663388040277
ACTR5	4.51958657649611	0.000893	11	103.399924	2.7e-05	0.571429	1670.621861	2.40745622024016e-05	1670.62186147186	351.49169921875	1	84	0.0775740148258852	463	1604.21919819311	20994	6	0.000167292939338776	11	21389532525566.2	1.11022302462516e-16	0.221626673052783
ACTR6	3.86512696184765	0.001149	28.222222	1731.270209	0.001557	0.25	1978.902381	2.6474392779369e-05	1978.90238095238	557.7958984375	1	263	0	1994	1875.85236538906	98944	7	0.0097547533371855	10	72607646160621360	0.617283950617284	0.262523531567025
ACTR8	3.98558121730254	0.001276	20.8	5317.693732	0.000131	0.444444	1911.629762	2.64220746879121e-05	1911.62976190476	510.3466796875	1	218	0.0509853030340417	1574	1819.15940451417	63226	6	0.00082136562423972	10	515011138464698	0.18	0.25359906631794
ACVR1	4.14776062268725	0.00051	26.25	10152.510895	0.002188	0	1835.722655	1.98218311755302e-05	1835.72265512265	460.47314453125	0	109	0	1221	1748.02940995509	54439	3	0.0137130809513452	11	143489432041635472	0.5	0.243529139708485
ACVR1B	4.61694525966569	0.00051	5.25	7566.026412	9e-06	0	1625.56829	1.90596940181203e-05	1625.56829004329	322.06396484375	0	25	0	313	1570.39062543183	5475	3	5.35361799752581e-05	11	2187225536618.19	0.375	0.215649812953481
ACVR1C	5.60826847007784	0.000255	6	29.094555	1e-06	0	1327.337013	1.36555214064377e-05	1327.33701298701	162.201904296875	0	14	0	29	1292.80678922461	560	2	6.05976084267607e-06	12	28019573923.6299	0.5	0.176086098830867
ACVR2A	4.81612862064565	0.000766	3.5	11489.997161	4.5e-05	0	1559.442893	2.06824688156194e-05	1559.44289321789	283.85205078125	0	27	1	227	1505.4430902925	3328	3	0.000282634323136818	11	60953618113367.5	0.666666666666667	0.206877539561951
ACVR2B	5.25494449406661	0.000255	6.5	0	1e-06	1	1417.023846	1.37293875155556e-05	1417.02384559885	204.410888671875	0	15	0	59	1379.73056843843	1236	2	5.10082154323476e-06	12	19853697596.3629	0.5	0.187984060174981
ACVRL1	4.09863468163838	0.001021	17.625	9634.05001	5.7e-05	0.178571	1852.101587	2.52796494439883e-05	1852.10158730159	468.9228515625	3.64311594202899	149	0.10035000709363	1148	1768.98116496996	33673	5	0.000353808006535902	10	95544805450318.3	0.6875	0.245701988233151
ACY1	5.15273701671558	0.000128	4	0	1e-06	0	1446.298882	8.75710234686239e-06	1446.29888167388	219.90234375	0	5	0	84	1407.09831112872	1056	1	4.19787726413878e-06	11	13451434123.4738	0	0.191867721102952
ADA	4.89868572157713	0.000383	5.666667	19640.096478	2e-06	0	1531.658405	1.60364993717095e-05	1531.62507215007	268.5517578125	0	20	0	218	1480.07199604074	3922	2	1.48229663244753e-05	11	167687254243.87	0.444444444444444	0.203187194501218
ADAM10	4.30509123389052	0.00051	12.25	892.480005	3.3e-05	0	1754.226227	2.09031391180842e-05	1754.22622655123	404.18798828125	1	53	0	758	1684.14724799194	19019	4	0.000205551609309058	11	32240785280469.1	0.5	0.232717727056406
ADAM12	3.5563353323976	0.001021	66.75	18416.833849	0.001335	0.142857	2161.056746	2.55683508320247e-05	2161.05674603175	687.1181640625	1	542	0	3074	2038.73000609953	272166	5	0.0083635575727029	10	53374756414479328	0.6875	0.286688345188584
ADAM15	4.03815235421717	0.000255	70.5	1776.643715	4.8e-05	0	1880.486941	1.54577936592483e-05	1880.48694083694	488.95068359375	0	143	0	1308	1795.47647486334	62311	2	0.000299450314542514	11	68431533046351.8	0.5	0.24946762282261
ADAM17	3.92471609034069	0.001021	20.5	14791.190032	0.000234	0	1940.839286	2.56604241949803e-05	1940.78928571429	530.07421875	0	172	2	1684	1847.37122049548	54620	5	0.00146799951090236	10	1644391322533619	0.78125	0.257467403252077
ADAM19	4.75028709965548	0.000383	7	7651.610639	3e-06	0	1576.29329	1.50625357862862e-05	1576.29329004329	292.34033203125	0	24	0	201	1526.30933705813	3369	2	2.18911896719038e-05	11	365687291344.71	0.666666666666667	0.209112933144517
ADAM22	5.89881332142401	0.000255	2	7537	0	0	1255.793001	7.75877403360229e-06	1255.76919191919	129.60400390625	0	6	0	20	1229.12985355513	246	1	3.39058452881087e-07	12	87723815.6994558	0.5	0.166591826999094
ADAM9	4.00803879035345	0.001021	14.25	5815.696168	6e-05	0	1896.395238	2.53705655394152e-05	1896.34523809524	499.3818359375	1	122	2	1466	1808.96641304002	40863	5	0.000377945090576526	10	109007146857567	0.78125	0.251571403302616
ADAMTS1	4.93428607885671	0.000383	13.666667	466.774072	1e-06	0.333333	1521.252417	1.864533988185e-05	1521.25241702742	262.85791015625	0	44	0	220	1469.39343160072	4128	3	7.36763435090033e-06	11	41422125268.8344	0.444444444444444	0.201811145798294
ADAMTS13	5.37080515503381	0.000128	6	0	0	0	1385.672655	9.4169638070451e-06	1385.67265512265	189.173583984375	0	7	0	64	1349.96659618446	789	1	1.22883516596476e-06	12	1152961550.75798	0	0.183824974147357
ADAMTS4	5.53604695674365	0.000255	8.5	3531.532554	0	0	1349.580231	1.27377925402644e-05	1349.58023088023	174.582275390625	0	19	0	95	1309.67233669847	1148	2	4.79788576204037e-07	12	175683452.606193	0.5	0.17903691043782
ADAMTS5	5.5396197524563	0.000128	14	0	0	0	1347.206421	1.0048552303187e-05	1347.20642135642	173.043212890625	1	15	0	87	1308.82765928042	1109	1	4.78131986615026e-07	12	174472375.605079	0	0.178721998057373
ADAP1	4.1422738292714	0.000638	25	8642.038131	0.000396	0	1837.041667	2.13203247783049e-05	1837.04166666667	460.59765625	0	130	1	1163	1750.34482333734	53245	4	0.00246457390105524	10	4658016680827797	0.72	0.243704121340751
ADAR	5.10029347964782	0.000128	3	0	3e-06	0	1461.918723	7.40404364490998e-06	1461.91872294372	228.099609375	0	4	0	79	1421.56673588352	1109	1	1.63051088589893e-05	11	202877842618.422	0	0.193939867729356
ADCK1	4.60737527114967	0.000128	41	0	5e-06	0	1630.95956	1.06086117372273e-05	1630.95955988456	326.28173828125	0	42	0	351	1573.65248698349	8145	1	3.02152932386577e-05	11	696810476377.738	0	0.216365025190317
ADCY1	6.1371698353962	0.000128	3	0	0	0	1206.941775	7.5346351456995e-06	1206.94177489177	111.136474609375	0	4	0	9	1181.39268561449	214	1	7.84175415364033e-08	12	4701467.48920438	0	0.160114324076908
ADCY10	5.48717621538854	0.000128	11	0	1e-06	0	1364.981854	9.99562048774273e-06	1364.98185425685	183.50927734375	0	12	0	180	1321.3367439481	2258	1	3.65730516150669e-06	11	10209654041.8569	0	0.181080108020286
ADCY10P1	5.12594104887074	0.000128	7	0	3e-06	0	1455.379004	9.42965730949575e-06	1455.379004329	225.06396484375	0	8	0	83	1414.4539480235	1442	1	1.68138322248818e-05	11	217697942019.008	0	0.193072300919232
ADCY2	5.14967462039046	0.000128	9	0	1e-06	0	1454.48575	9.95957140020696e-06	1454.48575036075	227.09130859375	0	10	0	216	1407.93508102483	2527	1	5.56305291610179e-06	11	23643113715.8501	0	0.192953800790782
ADCY3	4.42669388796733	0.000383	41	73.524541	1.1e-05	0	1709.804365	1.9242940811988e-05	1709.80436507936	376.9130859375	1	126	0	594	1637.88320073792	27784	3	6.65716502396492e-05	10	3382554986532.25	0	0.226824670347489
ADCY4	4.36212836544596	0.00051	38	7669.840643	2e-05	0	1738.275794	2.04231073724713e-05	1738.27579365079	395.375	1	156	0	703	1662.12613350494	35858	3	0.000127744227315121	10	12469809951922.6	0.375	0.230601723753088
ADCY5	4.18795457445451	0.001149	46.777778	14767.844774	4.6e-05	0.194444	1825.013095	2.59594539211661e-05	1825.0130952381	452.6826171875	0	430	0.10035000709363	954	1731.25267359313	95436	8	0.000287910942170211	10	63301315144043.5	0.197530864197531	0.242108396821178
ADCY6	3.86372336353196	0.001149	56.222222	29283.770171	7.6e-05	0.194444	1986.002381	2.66319523914798e-05	1986.00238095238	562.787109375	1	515	0.10035000709363	1878	1876.53381770145	124830	8	0.00047679650309859	9	173624200664933	0.37037037037037	0.263465425968725
ADCY7	4.10641827229807	0.000383	41.666667	507.678666	2.9e-05	0.333333	1848.715476	1.92990383222605e-05	1848.71547619048	467.7373046875	1	128	0	1204	1765.62811509539	40615	3	0.000179467494753705	10	24584717277648.8	0.444444444444444	0.245252782726237
ADCY8	4.34132959040449	0.000638	25.6	8186.27742	1.3e-05	0	1745.469481	2.21791398356672e-05	1745.46948051948	399.32763671875	0	133	1	665	1670.08917496987	28272	4	8.22179219177628e-05	11	5159307520176.51	0.56	0.231556046765649
ADCYAP1	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481525	0	1
ADCYAP1R1	0.000127599846880184	0.000128	1	0	0	0	1	1.25595213047773e-06	1	1.5	0	2	0	1	1	1	1	1.05980442412014e-16	1	1.54308063481524	0	1
ADD1	3.95074645910425	0.000638	21	4617.382916	5.7e-05	0	1919.534127	2.26785909096903e-05	1919.53412698413	514.873046875	0	110	1	1584	1835.19940572314	42763	4	0.000358254823650287	10	97950978721711.8	0.72	0.254647668742903
